time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-5.42875,-81.092778,,,,,,,,,,,,,,,,,,
,-5.429028,-81.092222,,,,,,,,,,,,,,,,,,
,-5.42875,-81.092222,,,,,,,,,,,,,,,,,,
,-5.434861,-81.123889,,,,,,,,,,,,,,,,,,
,-5.436806,-81.122222,,,,,,,,,,,,,,,,,,
,-5.438472,-81.120556,,,,,,,,,,,,,,,,,,
,-5.439306,-81.12,,,,,,,,,,,,,,,,,,
,-5.439306,-81.119722,,,,,,,,,,,,,,,,,,
,-5.439583,-81.119167,,,,,,,,,,,,,,,,,,
,-5.439028,-81.118611,,,,,,,,,,,,,,,,,,
,-5.369306,-81.155833,,,,,,,,,,,,,,,,,,
,-5.370417,-81.153889,,,,,,,,,,,,,,,,,,
,-5.371806,-81.152222,,,,,,,,,,,,,,,,,,
,-5.373194,-81.150556,,,,,,,,,,,,,,,,,,
,-5.374583,-81.148889,,,,,,,,,,,,,,,,,,
,-5.375694,-81.147222,,,,,,,,,,,,,,,,,,
,-5.375972,-81.146667,,,,,,,,,,,,,,,,,,
,-5.375694,-81.146111,,,,,,,,,,,,,,,,,,
,-5.375417,-81.145556,,,,,,,,,,,,,,,,,,
,-5.375417,-81.144722,,,,,,,,,,,,,,,,,,
,-5.374583,-81.143889,,,,,,,,,,,,,,,,,,
,-5.01125,-81.143056,,,,,,,,,,,,,,,,,,
,-5.010972,-81.143333,,,,,,,,,,,,,,,,,,
,-5.010972,-81.143333,,,,,,,,,,,,,,,,,,
,-5.010972,-81.143333,,,,,,,,,,,,,,,,,,
,-5.010694,-81.143333,,,,,,,,,,,,,,,,,,
,-5.010694,-81.143333,,,,,,,,,,,,,,,,,,
,-5.009861,-81.143333,,,,,,,,,,,,,,,,,,
,-4.900972,-81.249167,,,,,,,,,,,,,,,,,,
,-4.901528,-81.248889,,,,,,,,,,,,,,,,,,
,-4.901528,-81.248333,,,,,,,,,,,,,,,,,,
,-4.90125,-81.248056,,,,,,,,,,,,,,,,,,
,-4.90125,-81.248056,,,,,,,,,,,,,,,,,,
,-4.901806,-81.2475,,,,,,,,,,,,,,,,,,
,-4.969583,-81.184444,,,,,,,,,,,,,,,,,,
,-4.971528,-81.183056,,,,,,,,,,,,,,,,,,
,-4.97375,-81.181667,,,,,,,,,,,,,,,,,,
,-4.975694,-81.180556,,,,,,,,,,,,,,,,,,
,-4.977639,-81.179444,,,,,,,,,,,,,,,,,,
,-4.979583,-81.178333,,,,,,,,,,,,,,,,,,
,-4.981528,-81.177222,,,,,,,,,,,,,,,,,,
,-4.983472,-81.176111,,,,,,,,,,,,,,,,,,
,-4.985139,-81.175,,,,,,,,,,,,,,,,,,
,-4.987083,-81.173889,,,,,,,,,,,,,,,,,,
,-4.98875,-81.173056,,,,,,,,,,,,,,,,,,
